date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,real_soil_moisture_mm,generated_irrigated
2015-01-01,Baghpat,Wheat,15.54,0.0,1.14,7.78,2.1419737109804857,222.8580262890195,0.0
2015-01-02,Baghpat,Wheat,16.4,4.1,1.06,3.06,2.1401071130444476,224.81791917597505,0.0
2015-01-03,Baghpat,Wheat,14.3,11.06,1.0,4.97,2.0141077027512044,225.0,0.0
2015-01-04,Baghpat,Wheat,13.26,0.04,2.46,7.59,2.002748730893833,223.03725126910615,0.0
2015-01-05,Baghpat,Wheat,12.96,0.03,4.19,12.95,2.1679426786077385,220.8993085904984,0.0
2015-01-06,Baghpat,Wheat,13.06,0.0,2.56,9.12,2.053721080301593,218.84558751019682,0.0
2015-01-07,Baghpat,Wheat,12.35,0.0,2.11,6.11,1.9157296284682914,216.92985788172854,0.0
2015-01-08,Baghpat,Wheat,11.89,0.0,2.17,5.62,1.8932888863908526,215.0365689953377,0.0
2015-01-09,Baghpat,Wheat,11.12,0.0,1.77,7.19,1.8793545162842626,213.15721447905344,0.0
2015-01-10,Baghpat,Wheat,10.92,0.0,2.41,11.09,1.9971224393848959,211.16009203966854,0.0
2015-01-11,Baghpat,Wheat,11.67,0.0,2.25,8.26,1.9644183821130587,209.1956736575555,0.0
2015-01-12,Baghpat,Wheat,12.05,0.0,1.67,7.91,1.9852308553957616,207.21044280215972,0.0
2015-01-13,Baghpat,Wheat,12.23,0.0,1.57,9.49,2.057971329817261,205.15247147234246,0.0
2015-01-14,Baghpat,Wheat,11.24,2.34,1.53,4.77,1.8987290759845032,205.59374239635795,0.0
2015-01-15,Baghpat,Wheat,11.57,0.0,1.61,9.94,2.0431890519297884,203.55055334442815,0.0
2015-01-16,Baghpat,Wheat,12.7,0.0,1.55,11.06,2.1677454317786644,201.3828079126495,0.0
2015-01-17,Baghpat,Wheat,13.29,0.0,2.23,11.38,2.2296110647626115,199.15319684788687,0.0
2015-01-18,Baghpat,Wheat,12.8,0.0,2.13,10.6,2.177945370579221,196.97525147730767,0.0
2015-01-19,Baghpat,Wheat,12.82,0.0,1.66,8.79,2.127639002356308,194.84761247495135,0.0
2015-01-20,Baghpat,Wheat,12.04,0.0,1.14,7.37,2.0348659066378803,192.81274656831346,0.0
2015-01-21,Baghpat,Wheat,13.47,2.61,1.34,8.36,2.1780281865554634,193.24471838175802,0.0
2015-01-22,Baghpat,Wheat,12.27,6.15,1.42,1.79,2.0492456466991236,197.3454727350589,0.0
2015-01-23,Baghpat,Wheat,13.25,2.72,1.27,9.57,2.226238986992193,197.8392337480667,0.0
2015-01-24,Baghpat,Wheat,13.51,0.0,1.96,7.97,2.199576924998685,195.639656823068,0.0
2015-01-25,Baghpat,Wheat,12.41,0.0,1.68,8.52,2.152218082645944,193.48743874042208,0.0
2015-01-26,Baghpat,Wheat,12.3,3.04,0.86,6.66,2.100175581651025,194.42726315877104,0.0
2015-01-27,Baghpat,Wheat,12.88,0.0,2.09,8.87,2.2209941018613906,192.20626905690966,0.0
2015-01-28,Baghpat,Wheat,10.91,0.0,2.17,12.32,2.1986093377076976,190.00765971920197,0.0
2015-01-29,Baghpat,Wheat,10.47,0.0,2.23,15.11,2.2594282409055917,187.7482314782964,0.0
2015-01-30,Baghpat,Wheat,11.47,0.0,2.98,16.67,2.3982648721518887,185.3499666061445,0.0
2015-01-31,Baghpat,Wheat,12.64,0.0,2.56,16.11,2.489541034753961,182.86042557139055,0.0
2015-02-01,Baghpat,Wheat,15.02,0.0,1.21,14.24,2.6344924789977755,180.22593309239278,0.0
2015-02-02,Baghpat,Wheat,15.9,0.11,1.86,12.01,2.639429709661998,177.69650338273078,0.0
2015-02-03,Baghpat,Wheat,15.66,2.13,2.68,13.42,2.6859421772023,225.0,70.0
2015-02-04,Baghpat,Wheat,14.43,0.45,2.31,10.8,2.5098776879949125,222.9401223120051,0.0
2015-02-05,Baghpat,Wheat,13.69,0.0,2.15,17.22,2.6806786060121026,220.259443705993,0.0
2015-02-06,Baghpat,Wheat,14.26,0.0,1.36,16.63,2.7246612242074737,217.53478248178553,0.0
2015-02-07,Baghpat,Wheat,16.51,0.0,1.22,15.03,2.874919827099069,214.65986265468646,0.0
