date,district,latitude,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2
01-01-2015,Baghpat,28.94,15.54,0,1.14,7.78
02-01-2015,Baghpat,28.94,16.4,4.1,1.06,3.06
03-01-2015,Baghpat,28.94,14.3,11.06,1,4.97
04-01-2015,Baghpat,28.94,13.26,0.04,2.46,7.59
05-01-2015,Baghpat,28.94,12.96,0.03,4.19,12.95
06-01-2015,Baghpat,28.94,13.06,0,2.56,9.12
07-01-2015,Baghpat,28.94,12.35,0,2.11,6.11
08-01-2015,Baghpat,28.94,11.89,0,2.17,5.62
09-01-2015,Baghpat,28.94,11.12,0,1.77,7.19
10-01-2015,Baghpat,28.94,10.92,0,2.41,11.09
11-01-2015,Baghpat,28.94,11.67,0,2.25,8.26
12-01-2015,Baghpat,28.94,12.05,0,1.67,7.91
13-01-2015,Baghpat,28.94,12.23,0,1.57,9.49
14-01-2015,Baghpat,28.94,11.24,2.34,1.53,4.77
15-01-2015,Baghpat,28.94,11.57,0,1.61,9.94
16-01-2015,Baghpat,28.94,12.7,0,1.55,11.06
17-01-2015,Baghpat,28.94,13.29,0,2.23,11.38
18-01-2015,Baghpat,28.94,12.8,0,2.13,10.6
19-01-2015,Baghpat,28.94,12.82,0,1.66,8.79
20-01-2015,Baghpat,28.94,12.04,0,1.14,7.37
21-01-2015,Baghpat,28.94,13.47,2.61,1.34,8.36
22-01-2015,Baghpat,28.94,12.27,6.15,1.42,1.79
23-01-2015,Baghpat,28.94,13.25,2.72,1.27,9.57
24-01-2015,Baghpat,28.94,13.51,0,1.96,7.97
25-01-2015,Baghpat,28.94,12.41,0,1.68,8.52
26-01-2015,Baghpat,28.94,12.3,3.04,0.86,6.66
27-01-2015,Baghpat,28.94,12.88,0,2.09,8.87
28-01-2015,Baghpat,28.94,10.91,0,2.17,12.32
29-01-2015,Baghpat,28.94,10.47,0,2.23,15.11
30-01-2015,Baghpat,28.94,11.47,0,2.98,16.67
31-01-2015,Baghpat,28.94,12.64,0,2.56,16.11
01-02-2015,Baghpat,28.94,15.02,0,1.21,14.24
02-02-2015,Baghpat,28.94,15.9,0.11,1.86,12.01
03-02-2015,Baghpat,28.94,15.66,2.13,2.68,13.42
04-02-2015,Baghpat,28.94,14.43,0.45,2.31,10.8
05-02-2015,Baghpat,28.94,13.69,0,2.15,17.22
06-02-2015,Baghpat,28.94,14.26,0,1.36,16.63
07-02-2015,Baghpat,28.94,16.51,0,1.22,15.03
08-02-2015,Baghpat,28.94,17.21,0,1.85,14.42
09-02-2015,Baghpat,28.94,16.17,0,2.17,16.61
10-02-2015,Baghpat,28.94,15.37,0,2.19,17.01
11-02-2015,Baghpat,28.94,15.1,0,1.63,15.59
12-02-2015,Baghpat,28.94,14.98,0,2.1,15.61
13-02-2015,Baghpat,28.94,15.99,0,2.34,17.88
14-02-2015,Baghpat,28.94,19.16,0,1.42,17.43
15-02-2015,Baghpat,28.94,20.2,0,1.25,16.8
16-02-2015,Baghpat,28.94,19.28,0,1.82,14.02
17-02-2015,Baghpat,28.94,19.72,0,0.97,15.62
18-02-2015,Baghpat,28.94,20.52,0,1.1,14.42
19-02-2015,Baghpat,28.94,21.9,0.02,1.36,15.76
20-02-2015,Baghpat,28.94,21.28,3.18,1.34,16.76
21-02-2015,Baghpat,28.94,21.59,0,2.77,17.31
22-02-2015,Baghpat,28.94,21.88,0,3.28,18.88
23-02-2015,Baghpat,28.94,20.8,0,1.42,17.13
24-02-2015,Baghpat,28.94,21.35,0,1.13,12.47
25-02-2015,Baghpat,28.94,20.75,2.38,1.88,11.68
26-02-2015,Baghpat,28.94,15.96,0.26,1.68,18.9
27-02-2015,Baghpat,28.94,16.11,0.19,1.62,19.84
28-02-2015,Baghpat,28.94,18.12,0.56,1.15,17.46
01-03-2015,Baghpat,28.94,15.92,34.12,4.2,3.92
02-03-2015,Baghpat,28.94,16.48,31.16,2.68,9.87
03-03-2015,Baghpat,28.94,15.76,4.36,1.5,12.82
04-03-2015,Baghpat,28.94,15.38,0.01,2.2,20.05
05-03-2015,Baghpat,28.94,16.7,0.02,1.58,20.74
06-03-2015,Baghpat,28.94,18.03,0.1,1.94,19.83
07-03-2015,Baghpat,28.94,19.52,2.9,1.27,14.39
08-03-2015,Baghpat,28.94,19.73,2.61,1.68,16.2
09-03-2015,Baghpat,28.94,15.77,3.02,2.3,21.02
10-03-2015,Baghpat,28.94,16.69,0,2.42,22.51
11-03-2015,Baghpat,28.94,18.09,0,1.85,21.3
12-03-2015,Baghpat,28.94,20.4,0,1.92,20.38
