date,district,latitude,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,sm_rootzone_m3m3
2015-01-01,Baghpat,28.94,15.54,0.0,1.14,7.78,0.1690305
2015-01-02,Baghpat,28.94,16.4,4.1,1.06,3.06,0.20121193
2015-01-03,Baghpat,28.94,14.3,11.06,1.0,4.97,0.21559525
2015-01-04,Baghpat,28.94,13.26,0.04,2.46,7.59,0.21080144
2015-01-05,Baghpat,28.94,12.96,0.03,4.19,12.95,0.20424525
2015-01-06,Baghpat,28.94,13.06,0.0,2.56,9.12,0.19836299
2015-01-07,Baghpat,28.94,12.35,0.0,2.11,6.11,0.19392395
2015-01-08,Baghpat,28.94,11.89,0.0,2.17,5.62,0.1894563
2015-01-09,Baghpat,28.94,11.12,0.0,1.77,7.19,0.18523407
2015-01-10,Baghpat,28.94,10.92,0.0,2.41,11.09,0.18160884
2015-01-11,Baghpat,28.94,11.67,0.0,2.25,8.26,0.17885081
2015-01-12,Baghpat,28.94,12.05,0.0,1.67,7.91,0.17639478
2015-01-13,Baghpat,28.94,12.23,0.0,1.57,9.49,0.17656326
2015-01-14,Baghpat,28.94,11.24,2.34,1.53,4.77,0.21812694
2015-01-15,Baghpat,28.94,11.57,0.0,1.61,9.94,0.22233073
2015-01-16,Baghpat,28.94,12.7,0.0,1.55,11.06,0.21398227
2015-01-17,Baghpat,28.94,13.29,0.0,2.23,11.38,0.20653407
2015-01-18,Baghpat,28.94,12.8,0.0,2.13,10.6,0.19948132
2015-01-19,Baghpat,28.94,12.82,0.0,1.66,8.79,0.19315529
2015-01-20,Baghpat,28.94,12.04,0.0,1.14,7.37,0.18781662
2015-01-21,Baghpat,28.94,13.47,2.61,1.34,8.36,0.23588307
2015-01-22,Baghpat,28.94,12.27,6.15,1.42,1.79,0.3500805
2015-01-23,Baghpat,28.94,13.25,2.72,1.27,9.57,0.33161035
2015-01-24,Baghpat,28.94,13.51,0.0,1.96,7.97,0.2992649
2015-01-25,Baghpat,28.94,12.41,0.0,1.68,8.52,0.2802817
2015-01-26,Baghpat,28.94,12.3,3.04,0.86,6.66,0.26517233
2015-01-27,Baghpat,28.94,12.88,0.0,2.09,8.87,0.25197792
2015-01-28,Baghpat,28.94,10.91,0.0,2.17,12.32,0.2412529
2015-01-29,Baghpat,28.94,10.47,0.0,2.23,15.11,0.2316405
2015-01-30,Baghpat,28.94,11.47,0.0,2.98,16.67,0.22277005
2015-01-31,Baghpat,28.94,12.64,0.0,2.56,16.11,0.21455638
2015-02-01,Baghpat,28.94,15.02,0.0,1.21,14.24,0.20834415
2015-02-02,Baghpat,28.94,15.9,0.11,1.86,12.01,0.22698466
2015-02-03,Baghpat,28.94,15.66,2.13,2.68,13.42,0.35712114
2015-02-04,Baghpat,28.94,14.43,0.45,2.31,10.8,0.3107268
2015-02-05,Baghpat,28.94,13.69,0.0,2.15,17.22,0.28633118
2015-02-06,Baghpat,28.94,14.26,0.0,1.36,16.63,0.2686583
2015-02-07,Baghpat,28.94,16.51,0.0,1.22,15.03,0.25397873
2015-02-08,Baghpat,28.94,17.21,0.0,1.85,14.42,0.24707158
2015-02-09,Baghpat,28.94,16.17,0.0,2.17,16.61,0.23617299
2015-02-10,Baghpat,28.94,15.37,0.0,2.19,17.01,0.22509956
2015-02-11,Baghpat,28.94,15.1,0.0,1.63,15.59,0.21517055
2015-02-12,Baghpat,28.94,14.98,0.0,2.1,15.61,0.2065347
2015-02-13,Baghpat,28.94,15.99,0.0,2.34,17.88,0.1982441
2015-02-14,Baghpat,28.94,19.16,0.0,1.42,17.43,0.1904583
2015-02-15,Baghpat,28.94,20.2,0.0,1.25,16.8,0.18372154
2015-02-16,Baghpat,28.94,19.28,0.0,1.82,14.02,0.18911362
2015-02-17,Baghpat,28.94,19.72,0.0,0.97,15.62,0.25680923
2015-02-18,Baghpat,28.94,20.52,0.0,1.1,14.42,0.3013223
2015-02-19,Baghpat,28.94,21.9,0.02,1.36,15.76,0.34318542
2015-02-20,Baghpat,28.94,21.28,3.18,1.34,16.76,0.3251597
2015-02-21,Baghpat,28.94,21.59,0.0,2.77,17.31,0.2956562
2015-02-22,Baghpat,28.94,21.88,0.0,3.28,18.88,0.27424812
2015-02-23,Baghpat,28.94,20.8,0.0,1.42,17.13,0.2585481
2015-02-24,Baghpat,28.94,21.35,0.0,1.13,12.47,0.24954414
2015-02-25,Baghpat,28.94,20.75,2.38,1.88,11.68,0.3460687
2015-02-26,Baghpat,28.94,15.96,0.26,1.68,18.9,0.32540575
2015-02-27,Baghpat,28.94,16.11,0.19,1.62,19.84,0.29978052
2015-02-28,Baghpat,28.94,18.12,0.56,1.15,17.46,0.27974573
